Station,Depth,Fe,Mn
AB,0.5,24.78122799,65.9422808
AB,2.5,227.615477,31.51445849
AB,4.5,285.1655406,32.71283642
AB,4.5,299.661856,31.6471099
AB,4.5,292.3805129,31.25387593
AB,6.5,310.6261336,32.7997302
AB,8.5,304.2382378,32.81895342
AB,10.5,314.5968662,33.88660616
AB,12.5,309.3265247,30.06043555
AB,12.5,328.3228752,28.88698763
AB,13.5,325.9580476,27.56603503
AB,14.5,321.3067933,27.72393287
AB,16.5,312.2566934,26.51832155
AB,18.5,293.3489882,25.45038586
AC,0.5,0.341310455,120.5463843
AC,2.5,48.14040408,215.0699193
AC,2.5,47.95244001,221.686448
AC,4.5,1.378705917,239.1217562
AC,4.5,1.296917146,253.9301582
AC,4.5,1.236261743,241.5133882
AC,6.5,2.017193244,193.1782454
AC,8.5,70.17997905,117.0534876
AC,10.5,255.928678,80.35305769
AC,12.5,373.5725828,66.11462696
AC,14.5,489.8062266,61.61230114
AC,16.5,644.0509612,59.99671601
AC,18.5,658.4755881,58.77111321
HA,2.5,0.119226454,21.99788388
HA,4.5,1.038390947,23.36024334
HA,6.5,0.692659416,22.19928273
HA,7.5,15.2258145,22.15331971
HA,10.5,0.215932268,24.3602825
HA,12.5,0.207355758,33.69356277
HA,14.5,0.092070474,124.11666
HA,16.5,0.148660391,159.8901651
HA,18.5,2.458091601,88.42138318
HA,20.5,1.089153253,103.6451636