"","Family_name","depth","abundance"
"1","JTB255_marine_benthic_group","AB_1.5",6.796013781
"2","Flavobacteriaceae","AB_1.5",6.755014185
"3","Planctomycetaceae","AB_1.5",5.961473605
"4","Family_Incertae_Sedis, Gammaproteobacteria","AB_1.5",5.407979051
"5","BD7-8_marine_group_unclassified","AB_1.5",4.571455023
"6","Gammaproteobacteria_unclassified","AB_1.5",4.226926154
"7","Sva1033","AB_1.5",3.926703302
"8","Desulfobulbaceae","AB_1.5",3.228387592
"9","Unknown_Family, Gammaproteobacteria","AB_1.5",3.135146574
"10","Bacteria_unclassified","AB_1.5",3.032647582
"11","Halieaceae","AB_1.5",2.547926545
"12","WCHB1-41_unclassified","AB_1.5",2.167027066
"13","Verrucomicrobiaceae","AB_1.5",2.123382334
"14","OM190_unclassified","AB_1.5",1.580468321
"15","Sh765B-TzT-29_unclassified","AB_1.5",1.46937264
"16","Flammeovirgaceae","AB_1.5",1.458792099
"17","Colwelliaceae","AB_1.5",1.458792099
"18","Rhodobacteraceae","AB_1.5",1.227342763
"19","Puniceicoccaceae","AB_1.5",1.157907963
"20","Spongiibacteraceae","AB_1.5",1.069957215
"21","DEV007","AB_1.5",1.062021809
"22","Psychromonadaceae","AB_1.5",1.03094147
"23","Anaerolineaceae","AB_1.5",1.018377077
"24","Alcanivoracaceae","AB_1.5",1.009119104
"25","Phycisphaerae_unclassified","AB_1.5",0.996554711
"26","Saprospiraceae","AB_1.5",0.893394436
"27","Alphaproteobacteria_unclassified","AB_1.5",0.85768511
"28","Lentisphaerae_unclassified","AB_1.5",0.84379815
"29","Proteobacteria_unclassified","AB_1.5",0.837846595
"30","Latescibacteria_unclassified","AB_1.5",0.825282203
"31","JTB255_marine_benthic_group","AB_2.5",6.367403964
"32","Flavobacteriaceae","AB_2.5",9.187447168
"33","Planctomycetaceae","AB_2.5",3.89957265
"34","Family_Incertae_Sedis, Gammaproteobacteria","AB_2.5",6.248238941
"35","BD7-8_marine_group_unclassified","AB_2.5",2.574081901
"36","Gammaproteobacteria_unclassified","AB_2.5",2.454916878
"37","Sva1033","AB_2.5",6.109702264
"38","Desulfobulbaceae","AB_2.5",4.845261576
"39","Unknown_Family, Gammaproteobacteria","AB_2.5",1.655982906
"40","Bacteria_unclassified","AB_2.5",3.99349582
"41","Halieaceae","AB_2.5",2.934512069
"42","WCHB1-41_unclassified","AB_2.5",4.170188786
"43","Verrucomicrobiaceae","AB_2.5",1.014370245
"44","OM190_unclassified","AB_2.5",1.027284681
"45","Sh765B-TzT-29_unclassified","AB_2.5",1.107706396
"46","Flammeovirgaceae","AB_2.5",1.486334179
"47","Colwelliaceae","AB_2.5",1.112989575
"48","Rhodobacteraceae","AB_2.5",0.794237813
"49","Puniceicoccaceae","AB_2.5",0.872898469
"50","Psychromonadaceae","AB_2.5",1.125904011
"51","Anaerolineaceae","AB_2.5",1.098314079
"52","Phycisphaerae_unclassified","AB_2.5",1.947144736
"53","Lentisphaerae_unclassified","AB_2.5",1.263853668
"54","Proteobacteria_unclassified","AB_2.5",0.850591716
"55","Latescibacteria_unclassified","AB_2.5",0.986780314
"56","R76-B128_unclassified","AB_2.5",1.189302151
"57","Bacteroidetes_BD2-2_unclassified","AB_2.5",1.38654081
"58","Desulfobacteraceae","AB_2.5",1.283225322
"59","Woesearchaeota_(DHVEG-6)_unclassified","AB_2.5",1.092443881
"60","Archaea_unclassified","AB_2.5",0.983845215
"61","JTB255_marine_benthic_group","AB_3.5",8.271427643
"62","Flavobacteriaceae","AB_3.5",7.218292171
"63","Planctomycetaceae","AB_3.5",4.365016045
"64","Family_Incertae_Sedis, Gammaproteobacteria","AB_3.5",6.089510605
"65","BD7-8_marine_group_unclassified","AB_3.5",1.831462865
"66","Gammaproteobacteria_unclassified","AB_3.5",1.858648181
"67","Sva1033","AB_3.5",5.411059695
"68","Desulfobulbaceae","AB_3.5",6.870792925
"69","Unknown_Family, Gammaproteobacteria","AB_3.5",1.582658133
"70","Bacteria_unclassified","AB_3.5",3.501586795
"71","Halieaceae","AB_3.5",3.306561708
"72","WCHB1-41_unclassified","AB_3.5",5.595447051
"73","Verrucomicrobiaceae","AB_3.5",0.788965126
"74","OM190_unclassified","AB_3.5",0.820287337
"75","Sh765B-TzT-29_unclassified","AB_3.5",1.330898475
"76","Flammeovirgaceae","AB_3.5",1.212701452
"77","Rhodobacteraceae","AB_3.5",0.815559456
"78","Psychromonadaceae","AB_3.5",1.012948484
"79","Anaerolineaceae","AB_3.5",1.416591316
"80","Phycisphaerae_unclassified","AB_3.5",1.898835168
"81","Lentisphaerae_unclassified","AB_3.5",1.258207306
"82","Proteobacteria_unclassified","AB_3.5",0.937302389
"83","Latescibacteria_unclassified","AB_3.5",1.560200699
"84","R76-B128_unclassified","AB_3.5",1.258798291
"85","Bacteroidetes_BD2-2_unclassified","AB_3.5",1.772364354
"86","Subgroup_22_unclassified","AB_3.5",0.804330739
"87","Desulfobacteraceae","AB_3.5",2.251062296
"88","Woesearchaeota_(DHVEG-6)_unclassified","AB_3.5",0.790147096
"89","Sandaracinaceae","AB_3.5",0.75705193
"90","MSBL9_unclassified","AB_3.5",0.820287337
"91","JTB255_marine_benthic_group","AB_4.5",7.206733934
"92","Flavobacteriaceae","AB_4.5",6.483343297
"93","Planctomycetaceae","AB_4.5",3.052974174
"94","Family_Incertae_Sedis, Gammaproteobacteria","AB_4.5",5.716476762
"95","BD7-8_marine_group_unclassified","AB_4.5",1.682879554
"96","Gammaproteobacteria_unclassified","AB_4.5",0.992699672
"97","Sva1033","AB_4.5",3.749796207
"98","Desulfobulbaceae","AB_4.5",8.611850805
"99","Unknown_Family, Gammaproteobacteria","AB_4.5",1.928035312
"100","Bacteria_unclassified","AB_4.5",3.944230084
"101","Halieaceae","AB_4.5",3.377835746
"102","WCHB1-41_unclassified","AB_4.5",4.00280178
"103","Verrucomicrobiaceae","AB_4.5",0.81577692
"104","OM190_unclassified","AB_4.5",0.83147655
"105","Sh765B-TzT-29_unclassified","AB_4.5",1.537959893
"106","Flammeovirgaceae","AB_4.5",1.0234951
"107","Rhodobacteraceae","AB_4.5",0.720975309
"108","Anaerolineaceae","AB_4.5",1.679860394
"109","Phycisphaerae_unclassified","AB_4.5",2.721470451
"110","Lentisphaerae_unclassified","AB_4.5",1.068178662
"111","Proteobacteria_unclassified","AB_4.5",1.129769517
"112","Latescibacteria_unclassified","AB_4.5",1.205852339
"113","R76-B128_unclassified","AB_4.5",1.207663835
"114","Bacteroidetes_BD2-2_unclassified","AB_4.5",2.138168819
"115","OM1_clade","AB_4.5",0.780150837
"116","Desulfobacteraceae","AB_4.5",2.998629302
"117","Woesearchaeota_(DHVEG-6)_unclassified","AB_4.5",1.671406747
"118","Sandaracinaceae","AB_4.5",0.838722533
"119","Archaea_unclassified","AB_4.5",1.133392509
"120","MSBL9_unclassified","AB_4.5",1.147280643
"121","JTB255_marine_benthic_group","AB_5.5",8.63022748
"122","Flavobacteriaceae","AB_5.5",4.519850935
"123","Planctomycetaceae","AB_5.5",3.723090422
"124","Family_Incertae_Sedis, Gammaproteobacteria","AB_5.5",4.928316768
"125","BD7-8_marine_group_unclassified","AB_5.5",2.207228332
"126","Gammaproteobacteria_unclassified","AB_5.5",0.8613082
"127","Sva1033","AB_5.5",3.643414371
"128","Desulfobulbaceae","AB_5.5",6.981235786
"129","Unknown_Family, Gammaproteobacteria","AB_5.5",2.116458147
"130","Bacteria_unclassified","AB_5.5",3.978759777
"131","Halieaceae","AB_5.5",3.160315275
"132","WCHB1-41_unclassified","AB_5.5",3.028698507
"133","Verrucomicrobiaceae","AB_5.5",0.919300263
"134","OM190_unclassified","AB_5.5",1.090250778
"135","Sh765B-TzT-29_unclassified","AB_5.5",1.929874989
"136","Flammeovirgaceae","AB_5.5",1.237500189
"137","Rhodobacteraceae","AB_5.5",0.841137048
"138","Anaerolineaceae","AB_5.5",1.828010671
"139","Phycisphaerae_unclassified","AB_5.5",2.576360418
"140","Lentisphaerae_unclassified","AB_5.5",0.994437805
"141","Proteobacteria_unclassified","AB_5.5",1.320201913
"142","Latescibacteria_unclassified","AB_5.5",1.489135313
"143","R76-B128_unclassified","AB_5.5",1.202200673
"144","Bacteroidetes_BD2-2_unclassified","AB_5.5",2.266228953
"145","Desulfobacteraceae","AB_5.5",2.726635502
"146","Woesearchaeota_(DHVEG-6)_unclassified","AB_5.5",2.059474642
"147","Sandaracinaceae","AB_5.5",0.992924968
"148","Archaea_unclassified","AB_5.5",1.377185418
"149","MSBL9_unclassified","AB_5.5",1.546118818
"150","ODP1230B30.02_sediment_group","AB_5.5",1.032762994
"151","JTB255_marine_benthic_group","AB_6.5",7.499133649
"152","Flavobacteriaceae","AB_6.5",3.635439529
"153","Planctomycetaceae","AB_6.5",3.688575719
"154","Family_Incertae_Sedis, Gammaproteobacteria","AB_6.5",5.352431558
"155","BD7-8_marine_group_unclassified","AB_6.5",1.494744138
"156","Gammaproteobacteria_unclassified","AB_6.5",0.91579069
"157","Sva1033","AB_6.5",4.125216588
"158","Desulfobulbaceae","AB_6.5",8.486542682
"159","Unknown_Family, Gammaproteobacteria","AB_6.5",1.426360171
"160","Bacteria_unclassified","AB_6.5",4.026337068
"161","Halieaceae","AB_6.5",2.906318586
"162","WCHB1-41_unclassified","AB_6.5",2.050594894
"163","OM190_unclassified","AB_6.5",0.804897771
"164","Sh765B-TzT-29_unclassified","AB_6.5",1.742867044
"165","Flammeovirgaceae","AB_6.5",0.999884487
"166","Rhodobacteraceae","AB_6.5",0.709252628
"167","Anaerolineaceae","AB_6.5",3.666859189
"168","Phycisphaerae_unclassified","AB_6.5",1.393092295
"169","Lentisphaerae_unclassified","AB_6.5",0.840475915
"170","Proteobacteria_unclassified","AB_6.5",1.489661546
"171","Latescibacteria_unclassified","AB_6.5",1.954949752
"172","R76-B128_unclassified","AB_6.5",0.879750491
"173","Bacteroidetes_BD2-2_unclassified","AB_6.5",2.232644103
"174","OM1_clade","AB_6.5",1.034538524
"175","Desulfobacteraceae","AB_6.5",3.405336722
"176","Woesearchaeota_(DHVEG-6)_unclassified","AB_6.5",2.703476955
"177","Sandaracinaceae","AB_6.5",1.120018482
"178","Archaea_unclassified","AB_6.5",1.65553887
"179","MSBL9_unclassified","AB_6.5",1.449000809
"180","ODP1230B30.02_sediment_group","AB_6.5",0.874205845
"181","JTB255_marine_benthic_group","AB_7.6",7.579007469
"182","Flavobacteriaceae","AB_7.6",2.776834763
"183","Planctomycetaceae","AB_7.6",3.743596074
"184","Family_Incertae_Sedis, Gammaproteobacteria","AB_7.6",4.643231899
"185","BD7-8_marine_group_unclassified","AB_7.6",0.934355904
"186","Gammaproteobacteria_unclassified","AB_7.6",1.620270354
"187","Sva1033","AB_7.6",4.745077464
"188","Desulfobulbaceae","AB_7.6",10.82186285
"189","Unknown_Family, Gammaproteobacteria","AB_7.6",0.885747793
"190","Bacteria_unclassified","AB_7.6",4.566076168
"191","Halieaceae","AB_7.6",2.447379791
"192","WCHB1-41_unclassified","AB_7.6",1.720572804
"193","Sh765B-TzT-29_unclassified","AB_7.6",1.253009074
"194","Flammeovirgaceae","AB_7.6",1.134960805
"195","Anaerolineaceae","AB_7.6",4.247422999
"196","Phycisphaerae_unclassified","AB_7.6",1.509937658
"197","Lentisphaerae_unclassified","AB_7.6",0.700574039
"198","Proteobacteria_unclassified","AB_7.6",1.800814765
"199","Latescibacteria_unclassified","AB_7.6",2.512190606
"200","R76-B128_unclassified","AB_7.6",0.774643541
"201","Bacteroidetes_BD2-2_unclassified","AB_7.6",2.479013641
"202","Subgroup_22_unclassified","AB_7.6",0.785445343
"203","OM1_clade","AB_7.6",0.758440837
"204","Desulfobacteraceae","AB_7.6",4.586136658
"205","Woesearchaeota_(DHVEG-6)_unclassified","AB_7.6",1.959755571
"206","Sandaracinaceae","AB_7.6",1.06474909
"207","Archaea_unclassified","AB_7.6",0.998395161
"208","MSBL9_unclassified","AB_7.6",1.39188939
"209","ODP1230B30.02_sediment_group","AB_7.6",0.881890007
"210","Sva0485_unclassified","AB_7.6",0.944386149
"211","JTB255_marine_benthic_group","AB_8.5",5.398900581
"212","Flavobacteriaceae","AB_8.5",2.682121437
"213","Planctomycetaceae","AB_8.5",3.793093489
"214","Family_Incertae_Sedis, Gammaproteobacteria","AB_8.5",4.550749473
"215","BD7-8_marine_group_unclassified","AB_8.5",0.853927392
"216","Gammaproteobacteria_unclassified","AB_8.5",1.398823563
"217","Sva1033","AB_8.5",5.731036939
"218","Desulfobulbaceae","AB_8.5",13.29604421
"219","Bacteria_unclassified","AB_8.5",4.314884522
"220","Halieaceae","AB_8.5",2.234459388
"221","WCHB1-41_unclassified","AB_8.5",1.924465453
"222","Sh765B-TzT-29_unclassified","AB_8.5",1.220721458
"223","Flammeovirgaceae","AB_8.5",0.849113822
"224","Anaerolineaceae","AB_8.5",4.793353422
"225","Phycisphaerae_unclassified","AB_8.5",1.431555842
"226","Lentisphaerae_unclassified","AB_8.5",0.694116854
"227","Proteobacteria_unclassified","AB_8.5",1.733848064
"228","Latescibacteria_unclassified","AB_8.5",2.544453323
"229","Bacteroidetes_BD2-2_unclassified","AB_8.5",2.56274489
"230","Subgroup_22_unclassified","AB_8.5",0.686415142
"231","Desulfobacteraceae","AB_8.5",5.716596228
"232","Woesearchaeota_(DHVEG-6)_unclassified","AB_8.5",1.546118818
"233","Sandaracinaceae","AB_8.5",1.047432923
"234","Archaea_unclassified","AB_8.5",0.848151108
"235","MSBL9_unclassified","AB_8.5",1.350687859
"236","Helicobacteraceae","AB_8.5",0.703743995
"237","MSB-3A7_sediment_group_unclassified","AB_8.5",0.649832006
"238","ODP1230B30.02_sediment_group","AB_8.5",0.682564285
"239","Subgroup_23_unclassified","AB_8.5",0.699893139
"240","Sva0485_unclassified","AB_8.5",1.044544781
"241","JTB255_marine_benthic_group","AB_9.5",4.411358327
"242","Flavobacteriaceae","AB_9.5",2.028152974
"243","Planctomycetaceae","AB_9.5",4.451552935
"244","Family_Incertae_Sedis, Gammaproteobacteria","AB_9.5",4.064679825
"245","Gammaproteobacteria_unclassified","AB_9.5",1.335633358
"246","Sva1033","AB_9.5",5.140723001
"247","Desulfobulbaceae","AB_9.5",13.81187248
"248","Bacteria_unclassified","AB_9.5",4.675972835
"249","Halieaceae","AB_9.5",1.804570462
"250","WCHB1-41_unclassified","AB_9.5",1.561728033
"251","Sh765B-TzT-29_unclassified","AB_9.5",1.024962527
"252","Flammeovirgaceae","AB_9.5",0.775420997
"253","Anaerolineaceae","AB_9.5",5.89688408
"254","Phycisphaerae_unclassified","AB_9.5",1.76186369
"255","Lentisphaerae_unclassified","AB_9.5",0.637252029
"256","Proteobacteria_unclassified","AB_9.5",1.636255537
"257","Latescibacteria_unclassified","AB_9.5",2.969376732
"258","R76-B128_unclassified","AB_9.5",0.909403026
"259","Bacteroidetes_BD2-2_unclassified","AB_9.5",2.415863472
"260","Subgroup_22_unclassified","AB_9.5",0.752811529
"261","OM1_clade","AB_9.5",0.683308351
"262","Desulfobacteraceae","AB_9.5",6.348236043
"263","Woesearchaeota_(DHVEG-6)_unclassified","AB_9.5",1.363267152
"264","Sandaracinaceae","AB_9.5",0.992304407
"265","Archaea_unclassified","AB_9.5",0.783794874
"266","MSBL9_unclassified","AB_9.5",1.664726719
"267","Planctomycetes_unclassified","AB_9.5",0.724340348
"268","ODP1230B30.02_sediment_group","AB_9.5",0.69838133
"269","Subgroup_23_unclassified","AB_9.5",0.967182777
"270","Sva0485_unclassified","AB_9.5",1.195789615
"271","JTB255_marine_benthic_group","AB_10.5",5.47790046
"272","Flavobacteriaceae","AB_10.5",2.344195724
"273","Planctomycetaceae","AB_10.5",3.617813874
"274","Family_Incertae_Sedis, Gammaproteobacteria","AB_10.5",4.436688257
"275","BD7-8_marine_group_unclassified","AB_10.5",0.792026043
"276","Gammaproteobacteria_unclassified","AB_10.5",1.522804309
"277","Sva1033","AB_10.5",4.2034433
"278","Desulfobulbaceae","AB_10.5",12.4056113
"279","Bacteria_unclassified","AB_10.5",4.923314428
"280","Halieaceae","AB_10.5",2.218344129
"281","WCHB1-41_unclassified","AB_10.5",1.456522469
"282","Sh765B-TzT-29_unclassified","AB_10.5",1.385206564
"283","Anaerolineaceae","AB_10.5",4.778165587
"284","Phycisphaerae_unclassified","AB_10.5",2.120179884
"285","Proteobacteria_unclassified","AB_10.5",2.116823841
"286","Latescibacteria_unclassified","AB_10.5",2.035439809
"287","R76-B128_unclassified","AB_10.5",0.8281035
"288","Bacteroidetes_BD2-2_unclassified","AB_10.5",2.015303554
"289","Subgroup_22_unclassified","AB_10.5",0.833976575
"290","OM1_clade","AB_10.5",0.727422224
"291","Desulfobacteraceae","AB_10.5",6.093734269
"292","Woesearchaeota_(DHVEG-6)_unclassified","AB_10.5",1.883578884
"293","Sandaracinaceae","AB_10.5",1.115045139
"294","Archaea_unclassified","AB_10.5",1.219921469
"295","MSBL9_unclassified","AB_10.5",1.725844884
"296","Planctomycetes_unclassified","AB_10.5",0.821391415
"297","SAR324_clade(Marine_group_B)_unclassified","AB_10.5",0.70896399
"298","ODP1230B30.02_sediment_group","AB_10.5",0.819713394
"299","Subgroup_23_unclassified","AB_10.5",0.786152968
"300","Sva0485_unclassified","AB_10.5",1.041212203
"301","JTB255_marine_benthic_group","AB_11.5",3.553949787
"302","Flavobacteriaceae","AB_11.5",1.627724911
"303","Planctomycetaceae","AB_11.5",4.10280456
"304","Family_Incertae_Sedis, Gammaproteobacteria","AB_11.5",4.430191618
"305","Gammaproteobacteria_unclassified","AB_11.5",1.150878544
"306","Sva1033","AB_11.5",4.877313584
"307","Desulfobulbaceae","AB_11.5",12.21254202
"308","Bacteria_unclassified","AB_11.5",4.499688103
"309","Halieaceae","AB_11.5",1.208652731
"310","WCHB1-41_unclassified","AB_11.5",1.771323071
"311","Sh765B-TzT-29_unclassified","AB_11.5",1.23586521
"312","Anaerolineaceae","AB_11.5",7.472965449
"313","Phycisphaerae_unclassified","AB_11.5",2.471730421
"314","Lentisphaerae_unclassified","AB_11.5",0.713385609
"315","Proteobacteria_unclassified","AB_11.5",1.503803467
"316","Latescibacteria_unclassified","AB_11.5",3.080871302
"317","R76-B128_unclassified","AB_11.5",1.101896082
"318","Bacteroidetes_BD2-2_unclassified","AB_11.5",1.531015947
"319","Subgroup_22_unclassified","AB_11.5",0.890057397
"320","OM1_clade","AB_11.5",0.928154868
"321","Desulfobacteraceae","AB_11.5",8.108062848
"322","Woesearchaeota_(DHVEG-6)_unclassified","AB_11.5",1.065054571
"323","Sandaracinaceae","AB_11.5",1.05416958
"324","Archaea_unclassified","AB_11.5",0.843168202
"325","MSBL9_unclassified","AB_11.5",1.677963334
"326","Planctomycetes_unclassified","AB_11.5",0.672776217
"327","MSB-3A7_sediment_group_unclassified","AB_11.5",0.844842817
"328","Subgroup_23_unclassified","AB_11.5",1.355181465
"329","Sva0485_unclassified","AB_11.5",1.314572073
"330","Desulfarculaceae","AB_11.5",0.697058122
"331","JTB255_marine_benthic_group","AB_12.5",6.790947131
"332","Flavobacteriaceae","AB_12.5",5.801518312
"333","Planctomycetaceae","AB_12.5",4.222318664
"334","Family_Incertae_Sedis, Gammaproteobacteria","AB_12.5",4.329196409
"335","BD7-8_marine_group_unclassified","AB_12.5",1.965578889
"336","Gammaproteobacteria_unclassified","AB_12.5",2.17123758
"337","Sva1033","AB_12.5",3.190462619
"338","Desulfobulbaceae","AB_12.5",4.403039214
"339","Unknown_Family, Gammaproteobacteria","AB_12.5",4.932569859
"340","Bacteria_unclassified","AB_12.5",4.964633183
"341","Halieaceae","AB_12.5",1.751499527
"342","WCHB1-41_unclassified","AB_12.5",1.18342812
"343","OM190_unclassified","AB_12.5",0.985866228
"344","Sh765B-TzT-29_unclassified","AB_12.5",1.229094065
"345","Flammeovirgaceae","AB_12.5",1.329818243
"346","Psychromonadaceae","AB_12.5",1.019225039
"347","Anaerolineaceae","AB_12.5",5.443639803
"348","Phycisphaerae_unclassified","AB_12.5",1.016957936
"349","Alphaproteobacteria_unclassified","AB_12.5",0.711546683
"350","Proteobacteria_unclassified","AB_12.5",1.53644855
"351","Latescibacteria_unclassified","AB_12.5",1.49013486
"352","Bacteroidetes_BD2-2_unclassified","AB_12.5",1.495640683
"353","Subgroup_22_unclassified","AB_12.5",0.910727935
"354","OM1_clade","AB_12.5",1.535153062
"355","Desulfobacteraceae","AB_12.5",1.311681414
"356","Woesearchaeota_(DHVEG-6)_unclassified","AB_12.5",1.958129834
"357","Archaea_unclassified","AB_12.5",0.928540892
"358","MSBL9_unclassified","AB_12.5",1.210633364
"359","Nitrospiraceae","AB_12.5",1.154279644
"360","SAR324_clade(Marine_group_B)_unclassified","AB_12.5",1.004326929
"361","JTB255_marine_benthic_group","AB_13.5",2.694919823
"362","Flavobacteriaceae","AB_13.5",1.74357828
"363","Planctomycetaceae","AB_13.5",3.765918699
"364","Family_Incertae_Sedis, Gammaproteobacteria","AB_13.5",3.438504678
"365","Gammaproteobacteria_unclassified","AB_13.5",0.854037778
"366","Sva1033","AB_13.5",5.647563132
"367","Desulfobulbaceae","AB_13.5",10.6297789
"368","Bacteria_unclassified","AB_13.5",4.665978527
"369","Halieaceae","AB_13.5",1.236020802
"370","WCHB1-41_unclassified","AB_13.5",1.460213937
"371","Sh765B-TzT-29_unclassified","AB_13.5",1.671915372
"372","Anaerolineaceae","AB_13.5",6.326059658
"373","Phycisphaerae_unclassified","AB_13.5",3.757371746
"374","Proteobacteria_unclassified","AB_13.5",1.787627958
"375","Latescibacteria_unclassified","AB_13.5",2.182102682
"376","R76-B128_unclassified","AB_13.5",1.084805491
"377","Bacteroidetes_BD2-2_unclassified","AB_13.5",1.853373745
"378","OM1_clade","AB_13.5",1.37277204
"379","Desulfobacteraceae","AB_13.5",7.032169414
"380","Woesearchaeota_(DHVEG-6)_unclassified","AB_13.5",1.053904971
"381","Sandaracinaceae","AB_13.5",1.257716912
"382","Archaea_unclassified","AB_13.5",1.435887995
"383","MSBL9_unclassified","AB_13.5",2.674538629
"384","Planctomycetes_unclassified","AB_13.5",0.804070979
"385","vadinHA49_unclassified","AB_13.5",0.949369169
"386","Spirochaetaceae","AB_13.5",0.844175909
"387","ODP1230B30.02_sediment_group","AB_13.5",0.769225712
"388","Subgroup_23_unclassified","AB_13.5",1.818528478
"389","Sva0485_unclassified","AB_13.5",0.946739338
"390","Phycisphaerales_unclassified","AB_13.5",1.051932597
"391","JTB255_marine_benthic_group","AB_14.5",4.784428897
"392","Flavobacteriaceae","AB_14.5",1.376661701
"393","Planctomycetaceae","AB_14.5",3.028655743
"394","Family_Incertae_Sedis, Gammaproteobacteria","AB_14.5",3.534843661
"395","Gammaproteobacteria_unclassified","AB_14.5",0.865531921
"396","Sva1033","AB_14.5",3.493190819
"397","Desulfobulbaceae","AB_14.5",9.013251251
"398","Bacteria_unclassified","AB_14.5",4.797842524
"399","WCHB1-41_unclassified","AB_14.5",1.488912578
"400","Sh765B-TzT-29_unclassified","AB_14.5",1.885673541
"401","Anaerolineaceae","AB_14.5",6.463250192
"402","Phycisphaerae_unclassified","AB_14.5",2.65095625
"403","Proteobacteria_unclassified","AB_14.5",1.608223259
"404","Latescibacteria_unclassified","AB_14.5",3.026537802
"405","R76-B128_unclassified","AB_14.5",1.008845934
"406","Bacteroidetes_BD2-2_unclassified","AB_14.5",1.711296392
"407","Subgroup_22_unclassified","AB_14.5",0.852824274
"408","OM1_clade","AB_14.5",1.137334359
"409","Desulfobacteraceae","AB_14.5",8.50070951
"410","Woesearchaeota_(DHVEG-6)_unclassified","AB_14.5",0.879651528
"411","Sandaracinaceae","AB_14.5",1.410548759
"412","Archaea_unclassified","AB_14.5",1.505856107
"413","MSBL9_unclassified","AB_14.5",2.740615756
"414","Planctomycetes_unclassified","AB_14.5",0.960133289
"415","vadinHA49_unclassified","AB_14.5",1.051204755
"416","SAR324_clade(Marine_group_B)_unclassified","AB_14.5",0.868355842
"417","ODP1230B30.02_sediment_group","AB_14.5",0.969311034
"418","Subgroup_23_unclassified","AB_14.5",2.817567615
